priority,alert_id,score,hostname,severity,user_count,service,rule_name,targeted_users,summary,src_ip,attempt_count,mitre_technique_id,username,mitre_technique_name
medium,ALERT-0033,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 151.87.86.132 made 8 login attempts against user admin on srv-ldn-02.,151.87.86.132,8,T1110,admin,Brute Force
medium,ALERT-0034,70,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 151.87.86.132 made 8 login attempts against user admin on srv-nyc-01.,151.87.86.132,8,T1110,admin,Brute Force
medium,ALERT-0035,70,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 76.64.214.85 made 8 login attempts against user admin on db-ber-01.,76.64.214.85,8,T1110,admin,Brute Force
medium,ALERT-0036,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 76.64.214.85 made 8 login attempts against user admin on srv-ldn-02.,76.64.214.85,8,T1110,admin,Brute Force
medium,ALERT-0037,70,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 76.64.214.85 made 8 login attempts against user admin on web-sgp-02.,76.64.214.85,8,T1110,admin,Brute Force
medium,ALERT-0038,70,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 76.64.214.85 made 8 login attempts against user admin on srv-nyc-01.,76.64.214.85,8,T1110,admin,Brute Force
medium,ALERT-0039,70,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 76.64.214.85 made 8 login attempts against user admin on srv-tok-03.,76.64.214.85,8,T1110,admin,Brute Force
medium,ALERT-0040,70,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 76.64.214.85 made 8 login attempts against user admin on srv-tok-03.,76.64.214.85,8,T1110,admin,Brute Force
medium,ALERT-0041,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 76.64.214.85 made 8 login attempts against user admin on srv-ldn-02.,76.64.214.85,8,T1110,admin,Brute Force
medium,ALERT-0042,70,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 76.64.214.85 made 8 login attempts against user admin on db-ber-01.,76.64.214.85,8,T1110,admin,Brute Force
medium,ALERT-0043,70,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 177.178.56.23 made 8 login attempts against user admin on db-ber-01.,177.178.56.23,8,T1110,admin,Brute Force
medium,ALERT-0044,70,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 177.178.56.23 made 8 login attempts against user admin on srv-tok-03.,177.178.56.23,8,T1110,admin,Brute Force
medium,ALERT-0045,70,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 177.178.56.23 made 8 login attempts against user admin on db-ber-01.,177.178.56.23,8,T1110,admin,Brute Force
medium,ALERT-0046,70,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 177.178.56.23 made 8 login attempts against user admin on srv-nyc-01.,177.178.56.23,8,T1110,admin,Brute Force
medium,ALERT-0047,70,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 177.178.56.23 made 8 login attempts against user admin on web-sgp-02.,177.178.56.23,8,T1110,admin,Brute Force
medium,ALERT-0048,70,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 177.178.56.23 made 8 login attempts against user admin on srv-nyc-01.,177.178.56.23,8,T1110,admin,Brute Force
medium,ALERT-0049,70,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 177.178.56.23 made 8 login attempts against user admin on srv-tok-03.,177.178.56.23,8,T1110,admin,Brute Force
medium,ALERT-0050,70,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 177.178.56.23 made 8 login attempts against user admin on web-sgp-02.,177.178.56.23,8,T1110,admin,Brute Force
medium,ALERT-0051,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 66.102.40.21 made 8 login attempts against user admin on srv-ldn-02.,66.102.40.21,8,T1110,admin,Brute Force
medium,ALERT-0052,70,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 66.102.40.21 made 8 login attempts against user admin on srv-tok-03.,66.102.40.21,8,T1110,admin,Brute Force
medium,ALERT-0053,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 66.102.40.21 made 8 login attempts against user admin on srv-ldn-02.,66.102.40.21,8,T1110,admin,Brute Force
medium,ALERT-0054,70,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 66.102.40.21 made 8 login attempts against user admin on srv-tok-03.,66.102.40.21,8,T1110,admin,Brute Force
medium,ALERT-0055,70,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 66.102.40.21 made 8 login attempts against user admin on srv-nyc-01.,66.102.40.21,8,T1110,admin,Brute Force
medium,ALERT-0056,70,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 66.102.40.21 made 8 login attempts against user admin on srv-tok-03.,66.102.40.21,8,T1110,admin,Brute Force
medium,ALERT-0057,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 66.102.40.21 made 8 login attempts against user admin on srv-ldn-02.,66.102.40.21,8,T1110,admin,Brute Force
medium,ALERT-0058,70,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 66.102.40.21 made 8 login attempts against user admin on web-sgp-02.,66.102.40.21,8,T1110,admin,Brute Force
medium,ALERT-0059,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 154.36.187.206 made 8 login attempts against user admin on srv-ldn-02.,154.36.187.206,8,T1110,admin,Brute Force
medium,ALERT-0060,70,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 154.36.187.206 made 8 login attempts against user admin on srv-tok-03.,154.36.187.206,8,T1110,admin,Brute Force
medium,ALERT-0061,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 154.36.187.206 made 8 login attempts against user admin on srv-ldn-02.,154.36.187.206,8,T1110,admin,Brute Force
medium,ALERT-0062,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 154.36.187.206 made 8 login attempts against user admin on srv-ldn-02.,154.36.187.206,8,T1110,admin,Brute Force
medium,ALERT-0063,70,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 154.36.187.206 made 8 login attempts against user admin on web-sgp-02.,154.36.187.206,8,T1110,admin,Brute Force
medium,ALERT-0064,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 154.36.187.206 made 8 login attempts against user admin on srv-ldn-02.,154.36.187.206,8,T1110,admin,Brute Force
medium,ALERT-0065,70,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 154.36.187.206 made 8 login attempts against user admin on srv-tok-03.,154.36.187.206,8,T1110,admin,Brute Force
medium,ALERT-0066,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 154.36.187.206 made 8 login attempts against user admin on srv-ldn-02.,154.36.187.206,8,T1110,admin,Brute Force
high,ALERT-0067,75,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on web-sgp-02.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0068,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on srv-ldn-02.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0069,75,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on srv-tok-03.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0070,75,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on db-ber-01.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0071,75,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on srv-tok-03.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0072,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on srv-ldn-02.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0073,75,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on srv-tok-03.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0074,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on srv-ldn-02.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0075,75,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on srv-tok-03.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0076,75,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on db-ber-01.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0077,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on srv-nyc-01.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0078,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on srv-nyc-01.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0079,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on srv-ldn-02.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0080,75,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on web-sgp-02.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0081,75,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on srv-tok-03.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0082,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on srv-ldn-02.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0083,75,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on web-sgp-02.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0084,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 91.121.46.105 made 18 login attempts against user admin on srv-ldn-02.,91.121.46.105,18,T1110,admin,Brute Force
high,ALERT-0085,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on srv-nyc-01.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0086,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on srv-ldn-02.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0087,75,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on db-ber-01.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0088,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on srv-nyc-01.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0089,75,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on srv-tok-03.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0090,75,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on srv-tok-03.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0091,75,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on db-ber-01.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0092,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on srv-nyc-01.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0093,75,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on srv-tok-03.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0094,75,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on srv-tok-03.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0095,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on srv-nyc-01.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0096,75,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on db-ber-01.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0097,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on srv-ldn-02.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0098,75,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on web-sgp-02.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0099,75,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on web-sgp-02.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0100,75,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on db-ber-01.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0101,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on srv-ldn-02.,29.57.75.244,18,T1110,admin,Brute Force
high,ALERT-0102,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 29.57.75.244 made 18 login attempts against user admin on srv-ldn-02.,29.57.75.244,18,T1110,admin,Brute Force
medium,ALERT-0103,70,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 216.59.111.178 made 6 login attempts against user admin on db-ber-01.,216.59.111.178,6,T1110,admin,Brute Force
medium,ALERT-0104,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 216.59.111.178 made 6 login attempts against user admin on srv-ldn-02.,216.59.111.178,6,T1110,admin,Brute Force
medium,ALERT-0105,70,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 216.59.111.178 made 6 login attempts against user admin on web-sgp-02.,216.59.111.178,6,T1110,admin,Brute Force
medium,ALERT-0106,70,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 216.59.111.178 made 6 login attempts against user admin on db-ber-01.,216.59.111.178,6,T1110,admin,Brute Force
medium,ALERT-0107,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 216.59.111.178 made 6 login attempts against user admin on srv-ldn-02.,216.59.111.178,6,T1110,admin,Brute Force
medium,ALERT-0108,70,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 216.59.111.178 made 6 login attempts against user admin on db-ber-01.,216.59.111.178,6,T1110,admin,Brute Force
medium,ALERT-0109,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 113.247.230.64 made 8 login attempts against user admin on srv-ldn-02.,113.247.230.64,8,T1110,admin,Brute Force
medium,ALERT-0110,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 113.247.230.64 made 8 login attempts against user admin on srv-ldn-02.,113.247.230.64,8,T1110,admin,Brute Force
medium,ALERT-0111,70,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 113.247.230.64 made 8 login attempts against user admin on srv-nyc-01.,113.247.230.64,8,T1110,admin,Brute Force
medium,ALERT-0112,70,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 113.247.230.64 made 8 login attempts against user admin on srv-tok-03.,113.247.230.64,8,T1110,admin,Brute Force
medium,ALERT-0113,70,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 113.247.230.64 made 8 login attempts against user admin on srv-tok-03.,113.247.230.64,8,T1110,admin,Brute Force
medium,ALERT-0114,70,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 113.247.230.64 made 8 login attempts against user admin on db-ber-01.,113.247.230.64,8,T1110,admin,Brute Force
medium,ALERT-0115,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 113.247.230.64 made 8 login attempts against user admin on srv-ldn-02.,113.247.230.64,8,T1110,admin,Brute Force
medium,ALERT-0116,70,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 113.247.230.64 made 8 login attempts against user admin on srv-tok-03.,113.247.230.64,8,T1110,admin,Brute Force
medium,ALERT-0117,70,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 36.170.72.2 made 6 login attempts against user admin on web-sgp-02.,36.170.72.2,6,T1110,admin,Brute Force
medium,ALERT-0118,70,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 36.170.72.2 made 6 login attempts against user admin on srv-tok-03.,36.170.72.2,6,T1110,admin,Brute Force
medium,ALERT-0119,70,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 36.170.72.2 made 6 login attempts against user admin on web-sgp-02.,36.170.72.2,6,T1110,admin,Brute Force
medium,ALERT-0120,70,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 36.170.72.2 made 6 login attempts against user admin on srv-nyc-01.,36.170.72.2,6,T1110,admin,Brute Force
medium,ALERT-0121,70,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 36.170.72.2 made 6 login attempts against user admin on db-ber-01.,36.170.72.2,6,T1110,admin,Brute Force
medium,ALERT-0122,70,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 36.170.72.2 made 6 login attempts against user admin on srv-ldn-02.,36.170.72.2,6,T1110,admin,Brute Force
high,ALERT-0123,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on srv-ldn-02.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0124,75,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on db-ber-01.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0125,75,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on db-ber-01.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0126,75,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on web-sgp-02.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0127,75,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on web-sgp-02.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0128,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on srv-nyc-01.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0129,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on srv-nyc-01.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0130,75,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on srv-tok-03.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0131,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on srv-nyc-01.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0132,75,srv-tok-03,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on srv-tok-03.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0133,75,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on db-ber-01.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0134,75,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on db-ber-01.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0135,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on srv-ldn-02.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0136,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on srv-nyc-01.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0137,75,db-ber-01,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on db-ber-01.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0138,75,web-sgp-02,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on web-sgp-02.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0139,75,srv-ldn-02,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on srv-ldn-02.,55.207.73.67,18,T1110,admin,Brute Force
high,ALERT-0140,75,srv-nyc-01,high,,ssh,Brute Force Login Attempt,,Source IP 55.207.73.67 made 18 login attempts against user admin on srv-nyc-01.,55.207.73.67,18,T1110,admin,Brute Force
